,Datejoined,User name,Gabs,Followers,Following,Last 50 post,Average engagement of the post
,World,"196,937,540","+287,990","4,208,535","+5,722","178,300,269","+220,305"
USA,USA,"35,490,568","+3,078","628,121 ",+23,"29,604,332",+374
India,India,"31,528,114","+1,492","422,695 ",,"30,701,612","+7,490"
Brazil,Brazil,"19,797,516",,"553,272 ",,"18,530,306",
Russia,Russia,"6,218,502","+23,270","156,977 ",+799,"5,568,363","+20,834"
France,France,"6,054,049",,"111,735 ",,"5,687,372",
UK,UK,"5,770,928",,"129,430 ",,"4,480,533",
Turkey,Turkey,"5,660,469",,"51,124 ",,"5,438,038",
Argentina,Argentina,"4,891,810",,"104,822 ",,"4,529,259",
Colombia,Colombia,"4,757,139",,"119,801 ",,"4,545,346",
Spain,Spain,"4,395,602",,"81,396 ",,"3,703,911",
Italy,Italy,"4,336,906","+6,171","128,029 ",+19,"4,130,393","+1,825"
Iran,Iran,"3,826,447","+34,433","90,074 ",+292,"3,329,065","+18,902"
Germany,Germany,"3,770,814","+1,273","92,112 ",+6,"3,650,900","+1,800"
Indonesia,Indonesia,"3,331,206","+43,479","90,552 ","+1,893","2,686,170","+45,494"
Poland,Poland,"2,882,630",+167,"75,257 ",+5,"2,653,529",+83
Mexico,Mexico,"2,790,874","+19,028","239,616 ",+537,"2,181,291","+10,196"
South Africa,South Africa,"2,408,525",,"70,908 ",,"2,186,988",
Ukraine,Ukraine,"2,250,907",+846,"52,916 ",+25,"2,185,849",+510
Peru,Peru,"2,107,873",,"196,138 ",,N/A,N/A
Netherlands,Netherlands,"1,859,199","+4,415","17,815 ",+3,"1,666,554",+530
Czechia,Czechia,"1,673,219",+195,"30,363 ",,"1,639,849",+9
Chile,Chile,"1,611,917",,"35,176 ",,"1,567,236",
Iraq,Iraq,"1,603,787","+13,259","18,533 ",+49,"1,447,160","+9,401"
Philippines,Philippines,"1,572,287","+5,735","27,577 ",+176,"1,488,437","+4,069"
Canada,Canada,"1,428,683",,"26,570 ",,"1,396,646",
Bangladesh,Bangladesh,"1,226,253","+15,271","20,255 ",+239,"1,050,220","+14,336"
Belgium,Belgium,"1,121,089","+2,059","25,231 ",+1,"1,058,072",
Sweden,Sweden,"1,099,414",,"14,618 ",,"1,075,469",+247
Romania,Romania,"1,082,880",+170,"34,275 ",+1,"1,047,528",+84
Malaysia,Malaysia,"1,078,646","+17,170","8,725 ",+174,"890,742","+12,930"
Pakistan,Pakistan,"1,020,324","+4,497","23,209 ",+76,"937,354","+1,612"
Portugal,Portugal,"963,446","+3,009","17,330 ",+10,"894,555","+2,868"
Japan,Japan,"892,293","+9,577","15,160 ",+8,"827,372","+3,471"
Israel,Israel,"868,045",+805,"6,463 ",+1,"846,290",+459
Hungary,Hungary,"809,427",+65,"30,025 ",,"747,512",+531
Jordan,Jordan,"768,382",,"10,000 ",,"749,025",
Serbia,Serbia,"721,267",+292,"7,110 ",+2,"710,372",+77
Switzerland,Switzerland,"716,865",+827,"10,906 ",+3,"691,972",+129
Nepal,Nepal,"690,642","+2,335","9,807 ",+16,"650,445","+1,373"
UAE,UAE,"677,801","+1,550","1,939 ",+5,"655,183","+1,508"
Austria,Austria,"658,004",+503,"10,737 ",,"642,229",+349
Morocco,Morocco,"597,876",,"9,665 ",,"550,882",
Tunisia,Tunisia,"582,638","+3,676","19,336 ",+309,"499,664","+7,810"
Thailand,Thailand,"561,030","+17,669","4,562 ",+165,"370,492","+9,798"
Lebanon,Lebanon,"558,369",,"7,897 ",,"536,623",
Kazakhstan,Kazakhstan,"557,107","+7,479","5,619 ",,"462,912","+5,814"
Saudi Arabia,Saudi Arabia,"523,397","+1,289","8,212 ",+12,"503,827","+1,299"
Greece,Greece,"485,015",,"12,902 ",,"440,313",
Ecuador,Ecuador,"480,720",,"30,797 ",,"443,880",
Bolivia,Bolivia,"470,929",+905,"17,754 ",+38,"404,509","+1,113"
Paraguay,Paraguay,"451,158",,"14,820 ",,"416,666",
Belarus,Belarus,"443,864","+1,033","3,434 ",+10,"438,050","+1,147"
Panama,Panama,"432,523",,"6,791 ",,"412,994",
Bulgaria,Bulgaria,"424,295",,"18,205 ",,"398,388",
Georgia,Georgia,"413,626","+2,796","5,768 ",+17,"379,685","+2,088"
Costa Rica,Costa Rica,"403,511",,"4,997 ",,"326,649",
Kuwait,Kuwait,"395,479",,"2,303 ",,"380,175",
Slovakia,Slovakia,"392,537",+49,"12,536 ",+2,"379,466",+29
Uruguay,Uruguay,"380,976",,"5,950 ",,"372,721",
Cuba,Cuba,"366,985","+8,607","2,628 ",+68,"320,242","+8,073"
Croatia,Croatia,"363,227",+188,"8,250 ",+1,"353,901",+153
Guatemala,Guatemala,"358,798",,"10,224 ",,"314,439",
Azerbaijan,Azerbaijan,"342,548",+615,"5,019 ",+5,"332,574",+181
Dominican Republic,Dominican Republic,"340,814",,"3,953 ",,"312,204",
Palestine,Palestine,"316,487",+159,"3,601 ",,"311,714",+92
Denmark,Denmark,"314,983",+848,"2,548 ",+1,"301,343","+1,189"
Sri Lanka,Sri Lanka,"304,202","+2,370","4,324 ",+66,"273,496","+1,641"
Venezuela,Venezuela,"302,988",,"3,542  ",,"286,795",
Ireland,Ireland,"296,687",,"5,035 ",,"266,554",
Oman,Oman,"295,857",+322,"3,814 ",+12,"278,195",+563
Honduras,Honduras,"292,969","+1,282","7,758 ",+45,"99,072",+662
Myanmar,Myanmar,"289,333","+5,234","8,552 ",+342,"202,235","+4,241"
Egypt,Egypt,"284,128",,"16,507 ",,"228,836",
Lithuania,Lithuania,"282,039",+337,"4,413 ",,"268,947",+127
Ethiopia,Ethiopia,"279,153",,"4,376 ",,"263,066",
Bahrain,Bahrain,"268,846",,"1,383 ",,"266,571",
Moldova,Moldova,"259,202",+184,"6,253 ",+3,"251,850",+109
Slovenia,Slovenia,"258,963",+99,"4,428 ",,"253,619",+56
Libya,Libya,"246,200","+2,730","3,469 ",+16,"189,964",+991
Armenia,Armenia,"229,603",+233,"4,604 ",+7,"219,502",+123
Qatar,Qatar,"225,905",+158,601 ,,"223,494",+118
Bosnia and Herzegovina,Bosnia and Herzegovina,"205,566",,"9,686 ",,"189,259",
Kenya,Kenya,"199,941",,"3,895 ",,"187,824",
S. Korea,S. Korea,"195,099","+1,672","2,085 ",+2,"171,559","+1,065"
Zambia,Zambia,"194,140",+708,"3,355 ",+17,"185,210","+1,253"
Nigeria,Nigeria,"172,263",,"2,139 ",,"164,886",
Algeria,Algeria,"167,131",,"4,161 ",,"112,900",
Mongolia,Mongolia,"161,575","+1,231",802 ,+6,"160,662","+2,157"
Kyrgyzstan,Kyrgyzstan,"161,015",+930,"2,301 ",+13,"141,499","+1,460"
North Macedonia,North Macedonia,"156,171",,"5,491 ",,"150,321",
Afghanistan,Afghanistan,"146,523",+527,"6,677 ",+62,"96,692",+966
Latvia,Latvia,"138,717",+67,"2,554 ",,"135,463",
Norway,Norway,"136,723",,799 ,,"88,952",
Estonia,Estonia,"133,111",+222,"1,272 ",+1,"128,698",+85
Albania,Albania,"132,952",,"2,457 ",,"130,174",
Uzbekistan,Uzbekistan,"127,506",+879,859 ,+6,"121,718",+573
Vietnam,Vietnam,"123,640","+2,821",630 ,,"27,457",
Namibia,Namibia,"117,896",+326,"2,970 ",+43,"94,412",+481
Mozambique,Mozambique,"115,886",,"1,367 ",,"86,423",
Finland,Finland,"105,260",+765,978 ,,"46,000",
Zimbabwe,Zimbabwe,"103,567",,"3,340 ",,"71,383",
Ghana,Ghana,"103,019",,823 ,,"97,213",
Botswana,Botswana,"102,124",,"1,485 ",,"87,517",
Montenegro,Montenegro,"101,642",+146,"1,629 ",+2,"98,917",+24
Cyprus,Cyprus,"100,129",,412 ,,"80,178",
Uganda,Uganda,"93,282",+160,"2,632 ",+27,"81,014","+1,210"
El Salvador,El Salvador,"86,059",,"2,599 ",+12,"76,056",
Cameroon,Cameroon,"82,064",,"1,334 ",,"80,433",
Maldives,Maldives,"77,094",,220 ,,"74,335",
Cambodia,Cambodia,"75,917",+765,"1,350 ",+11,"68,386",+694
Luxembourg,Luxembourg,"73,816",+72,822 ,,"71,744",+113
Rwanda,Rwanda,"67,902",,776 ,,"44,791",
Singapore,Singapore,"64,722",+133,37 ,,"62,663",
Senegal,Senegal,"60,170",+884,"1,318 ",+11,"46,421",+384
Jamaica,Jamaica,"52,322",,"1,182 ",,"46,911",
Malawi,Malawi,"50,381",,"1,561 ",,"37,196",
Ivory Coast,Ivory Coast,"49,775",,326 ,,"49,040",
DRC,DRC,"49,251",+198,"1,023 ",,"29,497",
Madagascar,Madagascar,"42,645",+30,942 ,,"41,109",+18
Angola,Angola,"42,288",,"1,000 ",,"35,964",
Trinidad and Tobago,Trinidad and Tobago,"38,014",,"1,056 ",,"31,106",
Réunion,Réunion,"37,231",,275 ,,"33,894",
Sudan,Sudan,"37,138",,"2,776 ",,"30,867",
Malta,Malta,"34,090",+95,423 ,,"31,211",+229
Australia,Australia,"33,726",+252,923 ,+2,"29,926",
Cabo Verde,Cabo Verde,"33,682",,298 ,,"32,879",
French Guiana,French Guiana,"29,950",,184 ,,"9,995",
Fiji,Fiji,"27,497","+1,301",227 ,+9,"6,951",+245
Syria,Syria,"25,930",,"1,911 ",,"21,969",
Gabon,Gabon,"25,370",,163 ,,"25,143",
Guinea,Guinea,"25,293",,208 ,,"24,024",
Suriname,Suriname,"25,118",,640 ,,"21,458",
Mauritania,Mauritania,"24,662",,547 ,,"21,780",
Eswatini,Eswatini,"24,247",,770 ,,"20,362",
Guyana,Guyana,"22,234",,530 ,,"20,773",
Haiti,Haiti,"20,077",,545 ,,"13,951",
French Polynesia,French Polynesia,"19,636",,147 ,,"19,047",
Mayotte,Mayotte,"19,474",,174 ,,"2,964",
Martinique,Martinique,"19,149",,111 ,,104,
Seychelles,Seychelles,"18,062",,90 ,,"17,324",
Guadeloupe,Guadeloupe,"17,779",,238 ,,"2,250",
Papua New Guinea,Papua New Guinea,"17,670",,192 ,,"17,261",
Taiwan,Taiwan,"15,637",+18,787 ,,"14,053",+115
Togo,Togo,"15,393",,150 ,,"14,272",
Somalia,Somalia,"15,358",+35,809 ,+5,"7,498",+68
Tajikistan,Tajikistan,"14,845",,120 ,,"14,313",
Andorra,Andorra,"14,630",+44,127 ,,"14,150",+37
Mali,Mali,"14,563",,531 ,,"13,934",
Bahamas,Bahamas,"14,457",,286 ,,"12,501",
Belize,Belize,"14,069",,337 ,,"13,311",
Burkina Faso,Burkina Faso,"13,560",,169 ,,"13,361",
Curaçao,Curaçao,"13,447",,126 ,,"12,659",
Congo,Congo,"13,156",,177 ,,"11,759",
Lesotho,Lesotho,"12,908",+21,374 ,+11,"6,649",
Hong Kong,Hong Kong,"11,983",+2,212 ,,"11,709",+2
Djibouti,Djibouti,"11,647",,155 ,,"11,480",
Aruba,Aruba,"11,521",,109 ,,"11,110",
South Sudan,South Sudan,"11,014",,118 ,,"10,514",
Timor-Leste,Timor-Leste,"10,535",,26 ,,"9,773",
Nicaragua,Nicaragua,"9,470",,195 ,,"4,225",
Channel Islands,Channel Islands,"9,036",,86 ,,"6,033",
Equatorial Guinea,Equatorial Guinea,"8,880",,123 ,,"8,637",
Benin,Benin,"8,394",,108 ,,"8,136",
Gambia,Gambia,"7,709",,212 ,,"6,600",
Iceland,Iceland,"7,676",+131,30 ,,"6,680",+12
CAR,CAR,"7,148",,98 ,,"6,859",
Yemen,Yemen,"7,042",+15,"1,374 ",,"4,171",+3
Burundi,Burundi,"6,715",,9 ,,773,
Eritrea,Eritrea,"6,539",,34 ,,"6,378",
Sierra Leone,Sierra Leone,"6,250",,119 ,,"4,241",
Laos,Laos,"5,675",+241,6 ,,"2,691",+188
Niger,Niger,"5,607",+3,195 ,,"5,330",+26
Saint Lucia,Saint Lucia,"5,537",,88 ,,"5,354",
Liberia,Liberia,"5,396",,148 ,,"2,715",
San Marino,San Marino,"5,130",,90 ,,"5,005",
Chad,Chad,"4,972",,174 ,,"4,789",
Gibraltar,Gibraltar,"4,892",,94 ,,"4,470",
Barbados,Barbados,"4,364",,48 ,,"4,167",
Guinea-Bissau,Guinea-Bissau,"4,334",,74 ,,"3,854",
Isle of Man,Isle of Man,"4,333",,29 ,,"2,225",
Comoros,Comoros,"4,025",+1,147 ,,"3,864",
Mauritius,Mauritius,"3,913",,19 ,,"1,854",
Liechtenstein,Liechtenstein,"3,085",+2,59  ,,"3,005",+2
New Zealand,New Zealand,"2,867",+3,26 ,,"2,795",
Monaco,Monaco,"2,833",,33 ,,"2,674",
Sint Maarten,Sint Maarten,"2,743",,34 ,,"2,644",
Bermuda,Bermuda,"2,553",,33 ,,"2,495",
Bhutan,Bhutan,"2,501",,2 ,,"2,331",
British Virgin Islands,British Virgin Islands,"2,500",,31 ,,"1,914",
Saint Martin,Saint Martin,"2,481",,38 ,,"1,399",
Turks and Caicos,Turks and Caicos,"2,479",+6,18 ,,"2,431",+5
Sao Tome and Principe,Sao Tome and Principe,"2,432",,37 ,,"2,353",
St. Vincent Grenadines,St. Vincent Grenadines,"2,288",,12 ,,"2,210",
Caribbean Netherlands,Caribbean Netherlands,"1,703",,17 ,,"1,661",
Antigua and Barbuda,Antigua and Barbuda,"1,288",,43 ,,"1,229",
St. Barth,St. Barth,"1,005",,1 ,,462,
Faeroe Islands,Faeroe Islands,980,,1 ,,918,
198,Diamond Princess,712,,13 ,,699,
Cayman Islands,Cayman Islands,640,,2 ,,623,
Saint Kitts and Nevis,Saint Kitts and Nevis,582,,3 ,,537,
Tanzania,Tanzania,509,,21 ,,183,
Wallis and Futuna,Wallis and Futuna,445,,7 ,,438,
Brunei ,Brunei ,333,,3 ,,270,
Dominica,Dominica,210,, ,,200,
Grenada,Grenada,164,,1 ,,161,
New Caledonia,New Caledonia,133,, ,,58,
Anguilla,Anguilla,113,, ,,111,
Greenland,Greenland,110,+2, ,,78,+7
Falkland Islands,Falkland Islands,63,, ,,63,
Macao,Macao,59,, ,,53,
Saint Pierre Miquelon,Saint Pierre Miquelon,28,, ,,26,
Vatican City,Vatican City,27,, ,,27,
Montserrat,Montserrat,21,,1 ,,19,
Solomon Islands,Solomon Islands,20,, ,,20,
Western Sahara,Western Sahara,10,,1 ,,8,
216,MS Zaandam,9,,2 ,,7,
Vanuatu,Vanuatu,4,,1 ,,3,
Marshall Islands,Marshall Islands,4,, ,,4,
Samoa,Samoa,3,, ,,3,
Saint Helena,Saint Helena,2,, ,,2,
Micronesia,Micronesia,1,, ,,1,
China,China,"92,811",+49,"4,636 ",,"87,288",+24
